AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"40,520",0.5,14.04,15.34,18.15,22.76,27.1,"29,190","31,900","37,750","47,330","56,360",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"44,410",1,14.35,17.67,21.4,23.65,29.03,"29,840","36,750","44,520","49,190","60,390",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"46,210",0.5,14.53,18.08,22.22,26.99,29.23,"30,220","37,610","46,210","56,140","60,800",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4030,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",broad,"40,740",0.2,14,14.92,18.13,22.81,28.19,"29,120","31,030","37,720","47,440","58,640",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"40,000",0.3,13.95,14.67,18.09,22.67,27.59,"29,010","30,520","37,630","47,160","57,390",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"43,240",1.5,14.34,16.34,18.55,23.06,29.01,"29,820","33,980","38,580","47,970","60,330",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"40,030",0.4,14,14.66,18.05,22.67,27.4,"29,120","30,500","37,550","47,150","57,000",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"44,270",0.9,14.29,17.67,21.27,23.52,29.24,"29,720","36,750","44,240","48,920","60,820",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"47,100",0.8,14.45,17.96,22.53,27.16,29.94,"30,060","37,370","46,850","56,500","62,280",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4040,Machinists,broad,"49,020",0.3,14.53,18.16,22.95,28.87,32.81,"30,220","37,770","47,730","60,040","68,250",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4041,Machinists,detailed,"49,020",0.3,14.53,18.16,22.95,28.87,32.81,"30,220","37,770","47,730","60,040","68,250",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters",broad,"45,990",0.5,14.44,17.8,22.42,26.99,29.8,"30,030","37,030","46,640","56,150","61,970",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4051,Metal-Refining Furnace Operators and Tenders,detailed,"46,440",0.6,14.45,17.89,22.45,28,29.82,"30,060","37,200","46,690","58,240","62,020",,
