OCC_TITLE,O_GROUP,A_MEAN
Miscellaneous Community and Social Service Specialists,broad,"47,380"
Health Education Specialists,detailed,"64,930"
Probation Officers and Correctional Treatment Specialists,detailed,"63,290"
Social and Human Service Assistants,detailed,"40,460"
Community Health Workers,detailed,"47,780"
"Community and Social Service Specialists, All Other",detailed,"50,510"
Religious Workers,minor,"54,340"
Clergy,broad,"57,230"
Clergy,detailed,"57,230"
"Directors, Religious Activities and Education",broad,"52,880"
"Directors, Religious Activities and Education",detailed,"52,880"
Miscellaneous Religious Workers,broad,"43,290"
"Religious Workers, All Other",detailed,"43,290"
Legal Occupations,major,"113,100"
"Lawyers, Judges, and Related Workers",minor,"144,470"
Lawyers and Judicial Law Clerks,broad,"146,220"
Lawyers,detailed,"148,030"
Judicial Law Clerks,detailed,"62,730"
"Judges, Magistrates, and Other Judicial Workers",broad,"119,690"
"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,"104,160"
"Arbitrators, Mediators, and Conciliators",detailed,"62,350"
"Judges, Magistrate Judges, and Magistrates",detailed,"142,520"
Legal Support Workers,minor,"59,190"
Paralegals and Legal Assistants,broad,"58,330"
Paralegals and Legal Assistants,detailed,"58,330"
Miscellaneous Legal Support Workers,broad,"62,170"
"Title Examiners, Abstractors, and Searchers",detailed,"52,390"
"Legal Support Workers, All Other",detailed,"73,000"
Educational Instruction and Library Occupations,major,"62,140"
Postsecondary Teachers,minor,"95,200"
"Business Teachers, Postsecondary",broad,"105,720"
"Business Teachers, Postsecondary",detailed,"105,720"
"Math and Computer Science Teachers, Postsecondary",broad,"88,730"
"Computer Science Teachers, Postsecondary",detailed,"89,610"
"Mathematical Science Teachers, Postsecondary",detailed,"87,980"
"Engineering and Architecture Teachers, Postsecondary",broad,"113,150"
"Architecture Teachers, Postsecondary",detailed,"98,600"
"Engineering Teachers, Postsecondary",detailed,"115,590"
"Life Sciences Teachers, Postsecondary",broad,"98,430"
"Agricultural Sciences Teachers, Postsecondary",detailed,"97,520"
"Biological Science Teachers, Postsecondary",detailed,"98,710"
"Forestry and Conservation Science Teachers, Postsecondary",detailed,"93,510"
"Physical Sciences Teachers, Postsecondary",broad,"97,110"
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,"102,840"
"Chemistry Teachers, Postsecondary",detailed,"94,060"
"Environmental Science Teachers, Postsecondary",detailed,"92,210"
"Physics Teachers, Postsecondary",detailed,"99,480"
"Social Sciences Teachers, Postsecondary",broad,"94,340"
"Anthropology and Archeology Teachers, Postsecondary",detailed,"102,110"
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,"91,680"
"Economics Teachers, Postsecondary",detailed,"124,090"
"Geography Teachers, Postsecondary",detailed,"88,150"
"Political Science Teachers, Postsecondary",detailed,"98,980"
"Psychology Teachers, Postsecondary",detailed,"88,390"
"Sociology Teachers, Postsecondary",detailed,"87,850"
"Social Sciences Teachers, Postsecondary, All Other",detailed,"87,320"
"Health Teachers, Postsecondary",broad,"119,880"
"Health Specialties Teachers, Postsecondary",detailed,"133,310"
"Nursing Instructors and Teachers, Postsecondary",detailed,"82,040"
"Education and Library Science Teachers, Postsecondary",broad,"77,260"
"Education Teachers, Postsecondary",detailed,"76,990"
"Library Science Teachers, Postsecondary",detailed,"80,850"
"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,"97,720"
"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,"81,730"
"Law Teachers, Postsecondary",detailed,"130,820"
"Social Work Teachers, Postsecondary",detailed,"77,650"
"Arts, Communications, History, and Humanities Teachers, Postsecondary",broad,"85,110"
"Art, Drama, and Music Teachers, Postsecondary",detailed,"86,240"
"Communications Teachers, Postsecondary",detailed,"84,580"
"English Language and Literature Teachers, Postsecondary",detailed,"82,680"
"Foreign Language and Literature Teachers, Postsecondary",detailed,"82,990"
"History Teachers, Postsecondary",detailed,"86,460"
"Philosophy and Religion Teachers, Postsecondary",detailed,"88,260"
Miscellaneous Postsecondary Teachers,broad,"82,100"
"Family and Consumer Sciences Teachers, Postsecondary",detailed,"93,230"
"Recreation and Fitness Studies Teachers, Postsecondary",detailed,"79,080"
"Career/Technical Education Teachers, Postsecondary",detailed,"63,130"
"Postsecondary Teachers, All Other",detailed,"92,200"
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",minor,"64,870"
Preschool and Kindergarten Teachers,broad,"43,060"
"Preschool Teachers, Except Special Education",detailed,"36,460"
"Kindergarten Teachers, Except Special Education",detailed,"64,490"
Elementary and Middle School Teachers,broad,"67,030"
"Elementary School Teachers, Except Special Education",detailed,"67,080"
"Middle School Teachers, Except Special and Career/Technical Education",detailed,"66,880"
"Career/Technical Education Teachers, Middle School",detailed,"69,410"
Secondary School Teachers,broad,"69,490"
"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"69,530"
"Career/Technical Education Teachers, Secondary School",detailed,"68,960"
Special Education Teachers,broad,"68,880"
"Special Education Teachers, Preschool",detailed,"71,970"
"Special Education Teachers, Kindergarten and Elementary School",detailed,"67,090"
"Special Education Teachers, Middle School",detailed,"68,860"
"Special Education Teachers, Secondary School",detailed,"70,100"
"Special Education Teachers, All Other",detailed,"71,330"
Other Teachers and Instructors,minor,"46,490"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",broad,"60,650"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,"60,650"
Self-Enrichment Teachers,broad,"49,230"
Self-Enrichment Teachers,detailed,"49,230"
"Substitute Teachers, Short-Term",broad,"38,410"
"Substitute Teachers, Short-Term",detailed,"38,410"
Tutors,broad,"41,780"
Tutors,detailed,"41,780"
Miscellaneous Teachers and Instructors,broad,"62,200"
"Teachers and Instructors, All Other",detailed,"62,200"
"Librarians, Curators, and Archivists",minor,"55,520"
"Archivists, Curators, and Museum Technicians",broad,"58,830"
Archivists,detailed,"61,880"
Curators,detailed,"63,880"
Museum Technicians and Conservators,detailed,"52,030"
Librarians and Media Collections Specialists,broad,"64,180"
Librarians and Media Collections Specialists,detailed,"64,180"
Library Technicians,broad,"39,070"
Library Technicians,detailed,"39,070"
Other Educational Instruction and Library Occupations,minor,"38,620"
Farm and Home Management Educators,broad,"58,040"
Farm and Home Management Educators,detailed,"58,040"
Instructional Coordinators,broad,"70,560"
Instructional Coordinators,detailed,"70,560"
Teaching Assistants,broad,"32,640"
"Teaching Assistants, Postsecondary",detailed,"41,170"
"Teaching Assistants, Except Postsecondary",detailed,"31,760"
Miscellaneous Educational Instruction and Library Workers,broad,"49,650"
"Educational Instruction and Library Workers, All Other",detailed,"49,650"
"Arts, Design, Entertainment, Sports, and Media Occupations",major,"66,100"
Art and Design Workers,minor,"58,910"
Artists and Related Workers,broad,"95,330"
Art Directors,detailed,"115,430"
Craft Artists,detailed,"40,730"
"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,"69,010"
Special Effects Artists and Animators,detailed,"86,220"
"Artists and Related Workers, All Other",detailed,"67,240"
Designers,broad,"53,160"
Commercial and Industrial Designers,detailed,"79,680"
Fashion Designers,detailed,"83,650"
Floral Designers,detailed,"32,100"
Graphic Designers,detailed,"59,970"
Interior Designers,detailed,"62,570"
Merchandise Displayers and Window Trimmers,detailed,"35,520"
Set and Exhibit Designers,detailed,"62,960"
"Designers, All Other",detailed,"73,480"
"Entertainers and Performers, Sports and Related Workers",minor,"71,870"
"Actors, Producers, and Directors",broad,"95,360"
Actors,detailed,*
Producers and Directors,detailed,"101,950"
"Athletes, Coaches, Umpires, and Related Workers",broad,"54,390"
Athletes and Sports Competitors,detailed,"116,930"
Coaches and Scouts,detailed,"50,550"
"Umpires, Referees, and Other Sports Officials",detailed,"51,710"
Dancers and Choreographers,broad,"50,280"
Dancers,detailed,*
Choreographers,detailed,"49,630"
"Musicians, Singers, and Related Workers",broad,*
Music Directors and Composers,detailed,"65,080"
Musicians and Singers,detailed,*
"Miscellaneous Entertainers and Performers, Sports and Related Workers",broad,*
"Disc Jockeys, Except Radio",detailed,*
"Entertainers and Performers, Sports and Related Workers, All Other",detailed,*
Media and Communication Workers,minor,"71,760"
Broadcast Announcers and Radio Disc Jockeys,broad,"56,110"
Broadcast Announcers and Radio Disc Jockeys,detailed,"56,110"
"News Analysts, Reporters and Journalists",broad,"63,230"
"News Analysts, Reporters, and Journalists",detailed,"63,230"
Public Relations Specialists,broad,"73,250"
Public Relations Specialists,detailed,"73,250"
Writers and Editors,broad,"78,950"
Editors,detailed,"76,400"
Technical Writers,detailed,"81,470"
Writers and Authors,detailed,"81,120"
Miscellaneous Media and Communication Workers,broad,"59,650"
Interpreters and Translators,detailed,"58,400"
Court Reporters and Simultaneous Captioners,detailed,"65,240"
"Media and Communication Workers, All Other",detailed,"59,400"
Media and Communication Equipment Workers,minor,"58,970"
"Broadcast, Sound, and Lighting Technicians",broad,"55,750"
Audio and Video Technicians,detailed,"55,310"
Broadcast Technicians,detailed,"51,280"
Sound Engineering Technicians,detailed,"67,360"
Lighting Technicians,detailed,"58,020"
Photographers,broad,"48,210"
Photographers,detailed,"48,210"
"Television, Video, and Film Camera Operators and Editors",broad,"70,020"
"Camera Operators, Television, Video, and Film",detailed,"61,740"
Film and Video Editors,detailed,"76,000"
Miscellaneous Media and Communication Equipment Workers,broad,"69,290"
"Media and Communication Equipment Workers, All Other",detailed,"69,290"
Healthcare Practitioners and Technical Occupations,major,"91,100"
Healthcare Diagnosing or Treating Practitioners,minor,"112,160"
Chiropractors,broad,"81,240"
Chiropractors,detailed,"81,240"
Dentists,broad,"177,770"
"Dentists, General",detailed,"167,160"
Oral and Maxillofacial Surgeons,detailed,"311,460"
Orthodontists,detailed,"267,280"
Prosthodontists,detailed,"143,730"
"Dentists, All Other Specialists",detailed,"179,400"
Dietitians and Nutritionists,broad,"65,620"
Dietitians and Nutritionists,detailed,"65,620"
Optometrists,broad,"125,440"
Optometrists,detailed,"125,440"
Pharmacists,broad,"125,690"
Pharmacists,detailed,"125,690"
Physician Assistants,broad,"119,460"
Physician Assistants,detailed,"119,460"
Podiatrists,broad,"158,380"
Podiatrists,detailed,"158,380"
Therapists,broad,"84,080"
Occupational Therapists,detailed,"89,470"
Physical Therapists,detailed,"92,920"
Radiation Therapists,detailed,"94,000"
Recreational Therapists,detailed,"53,900"
Respiratory Therapists,detailed,"68,190"
Speech-Language Pathologists,detailed,"85,820"
Exercise Physiologists,detailed,"54,030"
"Therapists, All Other",detailed,"65,030"
Veterinarians,broad,"109,920"
Veterinarians,detailed,"109,920"
Registered Nurses,broad,"82,750"
Registered Nurses,detailed,"82,750"
Nurse Anesthetists,broad,"202,470"
Nurse Anesthetists,detailed,"202,470"
Nurse Midwives,broad,"114,210"
Nurse Midwives,detailed,"114,210"
Nurse Practitioners,broad,"118,040"
Nurse Practitioners,detailed,"118,040"
Audiologists,broad,"86,050"
Audiologists,detailed,"86,050"
Physicians,broad,"252,480"
Anesthesiologists,detailed,"331,190"
Cardiologists,detailed,"353,970"
Dermatologists,detailed,"302,740"
Emergency Medicine Physicians,detailed,"310,640"
Family Medicine Physicians,detailed,"235,930"
General Internal Medicine Physicians,detailed,"242,190"
Neurologists,detailed,"267,660"
Obstetricians and Gynecologists,detailed,"296,210"
"Pediatricians, General",detailed,"198,420"
"Physicians, Pathologists",detailed,"267,180"
Psychiatrists,detailed,"249,760"
Radiologists,detailed,"301,720"
"Physicians, All Other",detailed,"231,500"
Surgeons,broad,"294,520"
"Ophthalmologists, Except Pediatric",detailed,"270,090"
"Orthopedic Surgeons, Except Pediatric",detailed,"306,220"
Pediatric Surgeons,detailed,"290,310"
"Surgeons, All Other",detailed,"297,800"
Miscellaneous Healthcare Diagnosing or Treating Practitioners,broad,"84,550"
Acupuncturists,detailed,"71,770"
Dental Hygienists,detailed,"81,360"
"Healthcare Diagnosing or Treating Practitioners, All Other",detailed,"113,230"
Health Technologists and Technicians,minor,"50,300"
Clinical Laboratory Technologists and Technicians,broad,"56,910"
Clinical Laboratory Technologists and Technicians,detailed,"56,910"
Diagnostic Related Technologists and Technicians,broad,"70,780"
Cardiovascular Technologists and Technicians,detailed,"62,020"
Diagnostic Medical Sonographers,detailed,"80,680"
Nuclear Medicine Technologists,detailed,"84,850"
Radiologic Technologists and Technicians,detailed,"66,490"
Magnetic Resonance Imaging Technologists,detailed,"77,820"
Medical Dosimetrists,detailed,"124,750"
Emergency Medical Technicians and Paramedics,broad,"41,480"
Emergency Medical Technicians,detailed,"36,690"
Paramedics,detailed,"49,500"
Health Practitioner Support Technologists and Technicians,broad,"40,170"
Dietetic Technicians,detailed,"34,160"
Pharmacy Technicians,detailed,"37,970"
Psychiatric Technicians,detailed,"38,000"
Surgical Technologists,detailed,"53,590"
Veterinary Technologists and Technicians,detailed,"38,250"
Ophthalmic Medical Technicians,detailed,"41,120"
Licensed Practical and Licensed Vocational Nurses,broad,"51,850"
Licensed Practical and Licensed Vocational Nurses,detailed,"51,850"
Medical Records Specialists,broad,"48,310"
Medical Records Specialists,detailed,"48,310"
"Opticians, Dispensing",broad,"43,060"
"Opticians, Dispensing",detailed,"43,060"
Miscellaneous Health Technologists and Technicians,broad,"51,910"
Orthotists and Prosthetists,detailed,"79,820"
Hearing Aid Specialists,detailed,"59,960"
"Health Technologists and Technicians, All Other",detailed,"49,230"
Other Healthcare Practitioners and Technical Occupations,minor,"61,470"
Health Information Technologists and Medical Registrars,broad,"61,410"
Health Information Technologists and Medical Registrars,detailed,"61,410"
Miscellaneous Health Practitioners and Technical Workers,broad,"61,490"
Athletic Trainers,detailed,"54,650"
Genetic Counselors,detailed,"86,640"
Surgical Assistants,detailed,"59,170"
"Healthcare Practitioners and Technical Workers, All Other",detailed,"64,880"
