OCC_TITLE,O_GROUP,A_MEAN
Engine and Other Machine Assemblers,detailed,"48,110"
Structural Metal Fabricators and Fitters,broad,"45,730"
Structural Metal Fabricators and Fitters,detailed,"45,730"
Fiberglass Laminators and Fabricators,broad,"40,360"
Fiberglass Laminators and Fabricators,detailed,"40,360"
Timing Device Assemblers and Adjusters,broad,"44,670"
Timing Device Assemblers and Adjusters,detailed,"44,670"
Miscellaneous Assemblers and Fabricators,broad,"37,780"
Miscellaneous Assemblers and Fabricators,detailed,"37,780"
Food Processing Workers,minor,"33,830"
Bakers,broad,"32,300"
Bakers,detailed,"32,300"
"Butchers and Other Meat, Poultry, and Fish Processing Workers",broad,"33,360"
Butchers and Meat Cutters,detailed,"35,670"
"Meat, Poultry, and Fish Cutters and Trimmers",detailed,"31,680"
Slaughterers and Meat Packers,detailed,"32,010"
Miscellaneous Food Processing Workers,broad,"35,630"
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detailed,"36,280"
Food Batchmakers,detailed,"36,190"
Food Cooking Machine Operators and Tenders,detailed,"35,430"
"Food Processing Workers, All Other",detailed,"33,600"
Metal Workers and Plastic Workers,minor,"44,840"
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",broad,"42,710"
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"40,520"
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"44,410"
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"46,210"
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",broad,"40,740"
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"40,000"
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"43,240"
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"40,030"
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"44,270"
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"47,100"
Machinists,broad,"49,020"
Machinists,detailed,"49,020"
"Metal Furnace Operators, Tenders, Pourers, and Casters",broad,"45,990"
Metal-Refining Furnace Operators and Tenders,detailed,"46,440"
"Pourers and Casters, Metal",detailed,"44,910"
"Model Makers and Patternmakers, Metal and Plastic",broad,"55,740"
"Model Makers, Metal and Plastic",detailed,"59,080"
"Patternmakers, Metal and Plastic",detailed,"49,840"
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",broad,"37,720"
Foundry Mold and Coremakers,detailed,"39,980"
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"37,530"
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",broad,"40,830"
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"40,830"
Tool and Die Makers,broad,"56,150"
Tool and Die Makers,detailed,"56,150"
"Welding, Soldering, and Brazing Workers",broad,"47,910"
"Welders, Cutters, Solderers, and Brazers",detailed,"48,290"
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,"42,950"
Miscellaneous Metal Workers and Plastic Workers,broad,"40,940"
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,"41,560"
"Layout Workers, Metal and Plastic",detailed,"52,340"
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"38,580"
"Tool Grinders, Filers, and Sharpeners",detailed,"43,660"
"Metal Workers and Plastic Workers, All Other",detailed,"39,480"
Printing Workers,minor,"40,660"
Printing Workers,broad,"40,660"
Prepress Technicians and Workers,detailed,"43,800"
Printing Press Operators,detailed,"41,120"
Print Binding and Finishing Workers,detailed,"37,060"
"Textile, Apparel, and Furnishings Workers",minor,"31,210"
Laundry and Dry-Cleaning Workers,broad,"27,830"
Laundry and Dry-Cleaning Workers,detailed,"27,830"
"Pressers, Textile, Garment, and Related Materials",broad,"28,110"
"Pressers, Textile, Garment, and Related Materials",detailed,"28,110"
Sewing Machine Operators,broad,"30,880"
Sewing Machine Operators,detailed,"30,880"
Shoe and Leather Workers,broad,"32,950"
Shoe and Leather Workers and Repairers,detailed,"34,890"
Shoe Machine Operators and Tenders,detailed,"29,920"
"Tailors, Dressmakers, and Sewers",broad,"34,630"
"Sewers, Hand",detailed,"31,350"
"Tailors, Dressmakers, and Custom Sewers",detailed,"35,430"
"Textile Machine Setters, Operators, and Tenders",broad,"33,110"
Textile Bleaching and Dyeing Machine Operators and Tenders,detailed,"31,940"
"Textile Cutting Machine Setters, Operators, and Tenders",detailed,"33,100"
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed,"33,640"
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed,"33,050"
"Miscellaneous Textile, Apparel, and Furnishings Workers",broad,"39,050"
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detailed,"40,600"
Fabric and Apparel Patternmakers,detailed,"64,070"
Upholsterers,detailed,"38,220"
"Textile, Apparel, and Furnishings Workers, All Other",detailed,"32,840"
Woodworkers,minor,"37,520"
Cabinetmakers and Bench Carpenters,broad,"40,070"
Cabinetmakers and Bench Carpenters,detailed,"40,070"
Furniture Finishers,broad,"37,310"
Furniture Finishers,detailed,"37,310"
"Model Makers and Patternmakers, Wood",broad,"56,560"
"Model Makers, Wood",detailed,"60,040"
"Patternmakers, Wood",detailed,"51,020"
"Woodworking Machine Setters, Operators, and Tenders",broad,"35,450"
"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,"35,280"
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,"35,560"
Miscellaneous Woodworkers,broad,"36,080"
"Woodworkers, All Other",detailed,"36,080"
Plant and System Operators,minor,"66,210"
"Power Plant Operators, Distributors, and Dispatchers",broad,"89,410"
Nuclear Power Reactor Operators,detailed,"111,220"
Power Distributors and Dispatchers,detailed,"95,520"
Power Plant Operators,detailed,"83,740"
Stationary Engineers and Boiler Operators,broad,"70,510"
Stationary Engineers and Boiler Operators,detailed,"70,510"
Water and Wastewater Treatment Plant and System Operators,broad,"52,320"
Water and Wastewater Treatment Plant and System Operators,detailed,"52,320"
Miscellaneous Plant and System Operators,broad,"72,540"
Chemical Plant and System Operators,detailed,"69,020"
Gas Plant Operators,detailed,"76,970"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed,"80,500"
"Plant and System Operators, All Other",detailed,"55,480"
Other Production Occupations,minor,"41,820"
"Chemical Processing Machine Setters, Operators, and Tenders",broad,"50,760"
Chemical Equipment Operators and Tenders,detailed,"52,450"
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed,"47,060"
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",broad,"41,900"
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed,"42,790"
"Grinding and Polishing Workers, Hand",detailed,"35,990"
"Mixing and Blending Machine Setters, Operators, and Tenders",detailed,"42,490"
Cutting Workers,broad,"39,300"
"Cutters and Trimmers, Hand",detailed,"34,330"
"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed,"40,010"
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",broad,"40,050"
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed,"40,050"
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",broad,"43,910"
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed,"43,910"
"Inspectors, Testers, Sorters, Samplers, and Weighers",broad,"44,810"
"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,"44,810"
Jewelers and Precious Stone and Metal Workers,broad,"47,090"
Jewelers and Precious Stone and Metal Workers,detailed,"47,090"
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,broad,"44,770"
Dental Laboratory Technicians,detailed,"47,320"
Medical Appliance Technicians,detailed,"46,320"
Ophthalmic Laboratory Technicians,detailed,"38,910"
Packaging and Filling Machine Operators and Tenders,broad,"36,750"
Packaging and Filling Machine Operators and Tenders,detailed,"36,750"
Painting Workers,broad,"43,480"
"Painting, Coating, and Decorating Workers",detailed,"38,250"
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,"43,900"
Semiconductor Processing Technicians,broad,"45,910"
Semiconductor Processing Technicians,detailed,"45,910"
Photographic Process Workers and Processing Machine Operators,broad,"40,300"
Photographic Process Workers and Processing Machine Operators,detailed,"40,300"
Computer Numerically Controlled Tool Operators and Programmers,broad,"48,500"
Computer Numerically Controlled Tool Operators,detailed,"46,240"
Computer Numerically Controlled Tool Programmers,detailed,"62,360"
Miscellaneous Production Workers,broad,"36,920"
Adhesive Bonding Machine Operators and Tenders,detailed,"38,580"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detailed,"35,820"
Cooling and Freezing Equipment Operators and Tenders,detailed,"42,910"
Etchers and Engravers,detailed,"36,970"
"Molders, Shapers, and Casters, Except Metal and Plastic",detailed,"39,020"
"Paper Goods Machine Setters, Operators, and Tenders",detailed,"44,180"
Tire Builders,detailed,"47,840"
Helpers--Production Workers,detailed,"32,910"
"Production Workers, All Other",detailed,"36,230"
Transportation and Material Moving Occupations,major,"41,340"
Supervisors of Transportation and Material Moving Workers,minor,"58,630"
First-Line Supervisors of Transportation and Material Moving Workers,broad,"58,630"
Aircraft Cargo Handling Supervisors,detailed,"62,080"
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detailed,"58,580"
Air Transportation Workers,minor,"119,590"
Aircraft Pilots and Flight Engineers,broad,"169,540"
"Airline Pilots, Copilots, and Flight Engineers",detailed,"198,190"
Commercial Pilots,detailed,"115,080"
Air Traffic Controllers and Airfield Operations Specialists,broad,"100,510"
Air Traffic Controllers,detailed,"127,920"
Airfield Operations Specialists,detailed,"54,360"
Flight Attendants,broad,"62,280"
Flight Attendants,detailed,"62,280"
Motor Vehicle Operators,minor,"44,330"
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",broad,"31,060"
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed,"31,060"
Driver/Sales Workers and Truck Drivers,broad,"45,460"
Driver/Sales Workers,detailed,"31,970"
Heavy and Tractor-Trailer Truck Drivers,detailed,"50,340"
Light Truck Drivers,detailed,"42,630"
Passenger Vehicle Drivers,broad,"39,640"
"Bus Drivers, School",detailed,"38,750"
"Bus Drivers, Transit and Intercity",detailed,"51,310"
Shuttle Drivers and Chauffeurs,detailed,"32,570"
Taxi Drivers,detailed,"30,050"
Miscellaneous Motor Vehicle Operators,broad,"36,410"
"Motor Vehicle Operators, All Other",detailed,"36,410"
Rail Transportation Workers,minor,"68,330"
Locomotive Engineers and Operators,broad,"71,410"
Locomotive Engineers,detailed,"72,940"
"Rail Yard Engineers, Dinkey Operators, and Hostlers",detailed,"58,070"
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",broad,"63,050"
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",detailed,"63,050"
Railroad Conductors and Yardmasters,broad,"66,990"
Railroad Conductors and Yardmasters,detailed,"66,990"
Subway and Streetcar Operators,broad,"71,520"
Subway and Streetcar Operators,detailed,"71,520"
Miscellaneous Rail Transportation Workers,broad,"54,140"
"Rail Transportation Workers, All Other",detailed,"54,140"
Water Transportation Workers,minor,"80,780"
Sailors and Marine Oilers,broad,"57,800"
Sailors and Marine Oilers,detailed,"57,800"
Ship and Boat Captains and Operators,broad,"94,250"
"Captains, Mates, and Pilots of Water Vessels",detailed,"98,330"
Motorboat Operators,detailed,"44,410"
Ship Engineers,broad,"96,910"
Ship Engineers,detailed,"96,910"
Other Transportation Workers,minor,"35,900"
Bridge and Lock Tenders,broad,"44,760"
Bridge and Lock Tenders,detailed,"44,760"
Parking Attendants,broad,"29,210"
Parking Attendants,detailed,"29,210"
Transportation Service Attendants,broad,"30,810"
Automotive and Watercraft Service Attendants,detailed,"29,960"
Aircraft Service Attendants,detailed,"38,640"
Traffic Technicians,broad,"53,210"
Traffic Technicians,detailed,"53,210"
Transportation Inspectors,broad,"77,620"
Transportation Inspectors,detailed,"77,620"
Passenger Attendants,broad,"34,380"
Passenger Attendants,detailed,"34,380"
Miscellaneous Transportation Workers,broad,"39,990"
"Transportation Workers, All Other",detailed,"39,990"
Material Moving Workers,minor,"34,900"
Conveyor Operators and Tenders,broad,"37,010"
Conveyor Operators and Tenders,detailed,"37,010"
Crane and Tower Operators,broad,"65,270"
Crane and Tower Operators,detailed,"65,270"
Dredge Operators,broad,"50,530"
Dredge Operators,detailed,"50,530"
Hoist and Winch Operators,broad,"58,450"
Hoist and Winch Operators,detailed,"58,450"
Industrial Truck and Tractor Operators,broad,"40,950"
Industrial Truck and Tractor Operators,detailed,"40,950"
Laborers and Material Movers,broad,"33,570"
Cleaners of Vehicles and Equipment,detailed,"30,550"
"Laborers and Freight, Stock, and Material Movers, Hand",detailed,"34,950"
Machine Feeders and Offbearers,detailed,"36,660"
"Packers and Packagers, Hand",detailed,"30,950"
Stockers and Order Fillers,detailed,"33,020"
Pumping Station Operators,broad,"62,590"
Gas Compressor and Gas Pumping Station Operators,detailed,"67,130"
"Pump Operators, Except Wellhead Pumpers",detailed,"54,400"
Wellhead Pumpers,detailed,"67,170"
Refuse and Recyclable Material Collectors,broad,"42,780"
Refuse and Recyclable Material Collectors,detailed,"42,780"
"Tank Car, Truck, and Ship Loaders",broad,"55,330"
"Tank Car, Truck, and Ship Loaders",detailed,"55,330"
Miscellaneous Material Moving Workers,broad,"40,190"
"Material Moving Workers, All Other",detailed,"40,190"
